Date,unleaded,diesel,unleaded-wholesale,diesel-wholesale
2019-05-01,121.83,124.61,94.06,96.35
2019-05-02,119.48,128.74,91.44,99.3
2019-05-03,120.48,129.97,92.92,100.58
2019-05-04,123.52,131.11,99.39,100.86
2019-05-05,126.62,129.41,101.82,103.84
2019-05-06,130.52,135.38,96.12,97.03
2019-05-07,128.57,131.72,98.45,100.42
2019-05-08,129.74,132.43,101.91,102.8
2019-05-09,131.33,134.36,100.2,103.81
2019-05-10,131.45,136.78,98.92,106.45
2019-05-11,120.75,123.18,93.07,95.23
2019-05-12,121.64,131.06,90.89,98.78
2019-06-01,121.93,124.74,94.1,96.17
2019-06-02,119.12,128.58,91.24,99.44
2019-06-03,120.63,129.97,93.22,100.71
2019-06-04,121.8,124.58,95.84,97.4
2019-06-05,127.21,129.96,101.36,103.45
2019-06-06,130.26,134.99,95.79,97.2
2019-06-07,128.54,131.65,99.47,100.75
2019-06-08,117.29,118.14,94.04,92.56
2019-06-09,131.38,134.39,100.18,104.03
